Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-01-02 10:00,Long,6245.75,1,31246.25,15.5,0.05,219,0.70,-48.5,-0.16,15.5,0.00
1,Entry short,2025-01-02 08:30,Short,6249.25,1,31246.25,15.5,0.05,219,0.70,-48.5,-0.16,15.5,0.00
2,Exit long,2025-01-02 10:30,Short,6221.25,1,31228.75,-124.5,-0.40,50.25,0.16,-148.5,-0.48,-109,-0.01
2,Entry long,2025-01-02 10:00,Long,6245.75,1,31228.75,-124.5,-0.40,50.25,0.16,-148.5,-0.48,-109,-0.01
3,Exit short,2025-01-02 16:15,Long,6192.75,1,31106.25,140.5,0.45,377.75,1.21,-52.25,-0.17,31.5,0.00
3,Entry short,2025-01-02 10:30,Short,6221.25,1,31106.25,140.5,0.45,377.75,1.21,-52.25,-0.17,31.5,0.00
4,Exit long,2025-01-03 06:00,Short,6200,1,30963.75,34.25,0.11,97.75,0.32,-54.75,-0.18,65.75,0.01
4,Entry long,2025-01-02 16:15,Long,6192.75,1,30963.75,34.25,0.11,97.75,0.32,-54.75,-0.18,65.75,0.01
5,Exit short,2025-01-03 08:15,Long,6206.25,1,31000,-33.25,-0.11,31.5,0.10,-42.25,-0.14,32.5,0.00
5,Entry short,2025-01-03 06:00,Short,6200,1,31000,-33.25,-0.11,31.5,0.10,-42.25,-0.14,32.5,0.00
6,Exit long,2025-01-03 14:15,Long Exit,6262,1,31031.25,276.75,0.89,277.75,0.90,-27.25,-0.09,309.25,0.03
6,Entry long,2025-01-03 08:15,Long,6206.25,1,31031.25,276.75,0.89,277.75,0.90,-27.25,-0.09,309.25,0.03
7,Exit short,2025-01-07 03:45,Long,6295.25,1,31600,121.75,0.39,227.75,0.72,-12.25,-0.04,431,0.04
7,Entry short,2025-01-06 12:45,Short,6320,1,31600,121.75,0.39,227.75,0.72,-12.25,-0.04,431,0.04
8,Exit long,2025-01-07 10:00,Long Exit,6274,1,31476.25,-108.25,-0.34,104,0.33,-107.25,-0.34,322.75,0.03
8,Entry long,2025-01-07 03:45,Long,6295.25,1,31476.25,-108.25,-0.34,104,0.33,-107.25,-0.34,322.75,0.03
9,Exit short,2025-01-07 21:00,Long,6238.75,1,31343.75,148,0.47,314,1.00,-78.5,-0.25,470.75,0.05
9,Entry short,2025-01-07 10:15,Short,6268.75,1,31343.75,148,0.47,314,1.00,-78.5,-0.25,470.75,0.05
10,Exit long,2025-01-08 02:15,Short,6232.75,1,31193.75,-32,-0.10,21.5,0.07,-46,-0.15,438.75,0.04
10,Entry long,2025-01-07 21:00,Long,6238.75,1,31193.75,-32,-0.10,21.5,0.07,-46,-0.15,438.75,0.04
11,Exit short,2025-01-08 03:45,Long,6240.25,1,31163.75,-39.5,-0.13,25.25,0.08,-38.5,-0.12,399.25,0.04
11,Entry short,2025-01-08 02:15,Short,6232.75,1,31163.75,-39.5,-0.13,25.25,0.08,-38.5,-0.12,399.25,0.04
12,Exit long,2025-01-08 06:30,Short,6231,1,31201.25,-48.25,-0.15,26.5,0.08,-58.5,-0.19,351,0.04
12,Entry long,2025-01-08 03:45,Long,6240.25,1,31201.25,-48.25,-0.15,26.5,0.08,-58.5,-0.19,351,0.04
13,Exit short,2025-01-08 08:30,Long,6223.25,1,31155,36.75,0.12,167.75,0.54,-11,-0.04,387.75,0.04
13,Entry short,2025-01-08 06:30,Short,6231,1,31155,36.75,0.12,167.75,0.54,-11,-0.04,387.75,0.04
14,Exit long,2025-01-08 10:15,Short,6201,1,31116.25,-113.25,-0.36,46.5,0.15,-112.25,-0.36,274.5,0.03
14,Entry long,2025-01-08 08:30,Long,6223.25,1,31116.25,-113.25,-0.36,46.5,0.15,-112.25,-0.36,274.5,0.03
15,Exit short,2025-01-08 11:45,Long,6234.25,1,31005,-168.25,-0.54,24,0.08,-176,-0.57,106.25,0.01
15,Entry short,2025-01-08 10:15,Short,6201,1,31005,-168.25,-0.54,24,0.08,-176,-0.57,106.25,0.01
16,Exit long,2025-01-08 12:30,Short,6192.25,1,31171.25,-212,-0.68,0,0.00,-224.75,-0.72,-105.75,-0.01
16,Entry long,2025-01-08 11:45,Long,6234.25,1,31171.25,-212,-0.68,0,0.00,-224.75,-0.72,-105.75,-0.01
17,Exit short,2025-01-08 13:30,Long,6228,1,30961.25,-180.75,-0.58,21.5,0.07,-202.25,-0.65,-286.5,-0.03
17,Entry short,2025-01-08 12:30,Short,6192.25,1,30961.25,-180.75,-0.58,21.5,0.07,-202.25,-0.65,-286.5,-0.03
18,Exit long,2025-01-09 02:45,Short,6209,1,31140,-97,-0.31,71.5,0.23,-109.75,-0.35,-383.5,-0.04
18,Entry long,2025-01-08 13:30,Long,6228,1,31140,-97,-0.31,71.5,0.23,-109.75,-0.35,-383.5,-0.04
19,Exit short,2025-01-09 03:30,Long,6216.75,1,31045,-40.75,-0.13,44,0.14,-39.75,-0.13,-424.25,-0.04
19,Entry short,2025-01-09 02:45,Short,6209,1,31045,-40.75,-0.13,44,0.14,-39.75,-0.13,-424.25,-0.04
20,Exit long,2025-01-09 06:15,Short,6216.75,1,31083.75,-2,-0.01,55.25,0.18,-4.75,-0.02,-426.25,-0.04
20,Entry long,2025-01-09 03:30,Long,6216.75,1,31083.75,-2,-0.01,55.25,0.18,-4.75,-0.02,-426.25,-0.04
21,Exit short,2025-01-09 21:30,Long,6208.25,1,31083.75,40.5,0.13,126.5,0.41,-44.75,-0.14,-385.75,-0.04
21,Entry short,2025-01-09 06:15,Short,6216.75,1,31083.75,40.5,0.13,126.5,0.41,-44.75,-0.14,-385.75,-0.04
22,Exit long,2025-01-10 04:30,Short,6210.5,1,31041.25,9.25,0.03,66.5,0.21,-16,-0.05,-376.5,-0.04
22,Entry long,2025-01-09 21:30,Long,6208.25,1,31041.25,9.25,0.03,66.5,0.21,-16,-0.05,-376.5,-0.04
23,Exit short,2025-01-10 05:45,Long,6219.75,1,31052.5,-48.25,-0.16,20.25,0.07,-47.25,-0.15,-424.75,-0.04
23,Entry short,2025-01-10 04:30,Short,6210.5,1,31052.5,-48.25,-0.16,20.25,0.07,-47.25,-0.15,-424.75,-0.04
24,Exit long,2025-01-10 07:15,Short,6210,1,31098.75,-50.75,-0.16,51.5,0.17,-62.25,-0.20,-475.5,-0.05
24,Entry long,2025-01-10 05:45,Long,6219.75,1,31098.75,-50.75,-0.16,51.5,0.17,-62.25,-0.20,-475.5,-0.05
25,Exit short,2025-01-10 10:00,Short Exit,6126.25,1,31050,416.75,1.34,417.75,1.35,-62.25,-0.20,-58.75,-0.01
25,Entry short,2025-01-10 07:15,Short,6210,1,31050,416.75,1.34,417.75,1.35,-62.25,-0.20,-58.75,-0.01
26,Exit long,2025-01-10 15:15,Short,6139.25,1,30766.25,-72,-0.23,122.75,0.40,-71,-0.23,-130.75,-0.01
26,Entry long,2025-01-10 13:15,Long,6153.25,1,30766.25,-72,-0.23,122.75,0.40,-71,-0.23,-130.75,-0.01
27,Exit short,2025-01-13 07:45,Long,6102.5,1,30696.25,181.75,0.59,296.5,0.97,-24.75,-0.08,51,0.01
27,Entry short,2025-01-10 15:15,Short,6139.25,1,30696.25,181.75,0.59,296.5,0.97,-24.75,-0.08,51,0.01
28,Exit long,2025-01-13 09:30,Short,6088.25,1,30512.5,-73.25,-0.24,16.5,0.05,-79.75,-0.26,-22.25,0.00
28,Entry long,2025-01-13 07:45,Long,6102.5,1,30512.5,-73.25,-0.24,16.5,0.05,-79.75,-0.26,-22.25,0.00
29,Exit short,2025-01-13 10:00,Long,6109.25,1,30441.25,-107,-0.35,21.5,0.07,-129.75,-0.43,-129.25,-0.01
29,Entry short,2025-01-13 09:30,Short,6088.25,1,30441.25,-107,-0.35,21.5,0.07,-129.75,-0.43,-129.25,-0.01
30,Exit long,2025-01-13 12:00,Short,6090.25,1,30546.25,-97,-0.32,66.5,0.22,-101,-0.33,-226.25,-0.02
30,Entry long,2025-01-13 10:00,Long,6109.25,1,30546.25,-97,-0.32,66.5,0.22,-101,-0.33,-226.25,-0.02
