Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2020-01-02 08:15,Long,3933.5,1,19653.75,-15.75,-0.08,0.25,0.00,-16,-0.08,-15.75,0.00
1,Entry short,2020-01-02 06:45,Short,3930.75,1,19653.75,-15.75,-0.08,0.25,0.00,-16,-0.08,-15.75,0.00
2,Exit long,2020-01-02 09:15,Short,3931.5,1,19667.5,-12,-0.06,6.5,0.03,-11,-0.06,-27.75,0.00
2,Entry long,2020-01-02 08:15,Long,3933.5,1,19667.5,-12,-0.06,6.5,0.03,-11,-0.06,-27.75,0.00
3,Exit short,2020-01-02 09:45,Long,3933,1,19657.5,-9.5,-0.05,15.25,0.08,-13.5,-0.07,-37.25,0.00
3,Entry short,2020-01-02 09:15,Short,3931.5,1,19657.5,-9.5,-0.05,15.25,0.08,-13.5,-0.07,-37.25,0.00
4,Exit long,2020-01-02 10:00,Long Exit,3927.5,1,19665,-29.5,-0.15,5.25,0.03,-28.5,-0.14,-66.75,-0.01
4,Entry long,2020-01-02 09:45,Long,3933,1,19665,-29.5,-0.15,5.25,0.03,-28.5,-0.14,-66.75,-0.01
5,Exit short,2020-01-02 14:30,Long,3929,1,19623.75,-23.25,-0.12,30.25,0.15,-24.75,-0.13,-90,-0.01
5,Entry short,2020-01-02 10:15,Short,3924.75,1,19623.75,-23.25,-0.12,30.25,0.15,-24.75,-0.13,-90,-0.01
6,Exit long,2020-01-02 20:45,Short,3939.75,1,19645,51.75,0.26,86.5,0.44,-3.5,-0.02,-38.25,0.00
6,Entry long,2020-01-02 14:30,Long,3929,1,19645,51.75,0.26,86.5,0.44,-3.5,-0.02,-38.25,0.00
7,Exit short,2020-01-03 03:00,Short Exit,3907.25,1,19698.75,160.5,0.81,161.5,0.82,-3.5,-0.02,122.25,0.01
7,Entry short,2020-01-02 20:45,Short,3939.75,1,19698.75,160.5,0.81,161.5,0.82,-3.5,-0.02,122.25,0.01
8,Exit long,2020-01-03 09:30,Short,3904.25,1,19520,-0.75,0.00,55.25,0.28,-3.5,-0.02,121.5,0.01
8,Entry long,2020-01-03 07:15,Long,3904,1,19520,-0.75,0.00,55.25,0.28,-3.5,-0.02,121.5,0.01
9,Exit short,2020-01-03 09:30,Short Exit,3921.25,1,19521.25,-87,-0.45,0.25,0.00,-86,-0.44,34.5,0.00
9,Entry short,2020-01-03 09:30,Short,3904.25,1,19521.25,-87,-0.45,0.25,0.00,-86,-0.44,34.5,0.00
10,Exit long,2020-01-03 14:15,Short,3919,1,19611.25,-18.25,-0.09,35.25,0.18,-44.75,-0.23,16.25,0.00
10,Entry long,2020-01-03 09:45,Long,3922.25,1,19611.25,-18.25,-0.09,35.25,0.18,-44.75,-0.23,16.25,0.00
11,Exit short,2020-01-05 23:30,Long,3912.5,1,19595,30.5,0.16,96.5,0.49,-48.5,-0.25,46.75,0.00
11,Entry short,2020-01-03 14:15,Short,3919,1,19595,30.5,0.16,96.5,0.49,-48.5,-0.25,46.75,0.00
12,Exit long,2020-01-06 01:15,Short,3905,1,19562.5,-39.5,-0.20,0,0.00,-39.75,-0.20,7.25,0.00
12,Entry long,2020-01-05 23:30,Long,3912.5,1,19562.5,-39.5,-0.20,0,0.00,-39.75,-0.20,7.25,0.00
13,Exit short,2020-01-06 06:30,Long,3900.25,1,19525,21.75,0.11,64,0.33,-37.25,-0.19,29,0.00
13,Entry short,2020-01-06 01:15,Short,3905,1,19525,21.75,0.11,64,0.33,-37.25,-0.19,29,0.00
14,Exit long,2020-01-06 08:15,Short,3898.5,1,19501.25,-10.75,-0.06,29,0.15,-9.75,-0.05,18.25,0.00
14,Entry long,2020-01-06 06:30,Long,3900.25,1,19501.25,-10.75,-0.06,29,0.15,-9.75,-0.05,18.25,0.00
