Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-04-02 03:30,Short,5755.75,1,28810,-33.25,-0.12,0.25,0.00,-34.75,-0.12,-33.25,0.00
1,Entry long,2024-04-02 03:15,Long,5762,1,28810,-33.25,-0.12,0.25,0.00,-34.75,-0.12,-33.25,0.00
2,Exit short,2024-04-02 04:30,Long,5764.75,1,28778.75,-47,-0.16,0.25,0.00,-53.5,-0.19,-80.25,-0.01
2,Entry short,2024-04-02 03:30,Short,5755.75,1,28778.75,-47,-0.16,0.25,0.00,-53.5,-0.19,-80.25,-0.01
3,Exit long,2024-04-02 06:15,Short,5754,1,28823.75,-55.75,-0.19,0,0.00,-57.25,-0.20,-136,-0.01
3,Entry long,2024-04-02 04:30,Long,5764.75,1,28823.75,-55.75,-0.19,0,0.00,-57.25,-0.20,-136,-0.01
4,Exit short,2024-04-02 15:30,Long,5726,1,28770,138,0.48,242.75,0.84,-16,-0.06,2,0.00
4,Entry short,2024-04-02 06:15,Short,5754,1,28770,138,0.48,242.75,0.84,-16,-0.06,2,0.00
5,Exit long,2024-04-02 21:45,Short,5723.5,1,28630,-14.5,-0.05,36.5,0.13,-22.25,-0.08,-12.5,0.00
5,Entry long,2024-04-02 15:30,Long,5726,1,28630,-14.5,-0.05,36.5,0.13,-22.25,-0.08,-12.5,0.00
6,Exit short,2024-04-03 03:15,Long,5724,1,28617.5,-4.5,-0.02,32.75,0.11,-11,-0.04,-17,0.00
6,Entry short,2024-04-02 21:45,Short,5723.5,1,28617.5,-4.5,-0.02,32.75,0.11,-11,-0.04,-17,0.00
7,Exit long,2024-04-03 04:00,Short,5718.25,1,28620,-30.75,-0.11,1.5,0.01,-32.25,-0.11,-47.75,0.00
7,Entry long,2024-04-03 03:15,Long,5724,1,28620,-30.75,-0.11,1.5,0.01,-32.25,-0.11,-47.75,0.00
