official_id,family,scope_label,format,trades,wins,losses,win_rate,net_pnl_usd,avg_trade_usd,start_dt,end_dt,source_bucket,file_name,abs_path,sha256
BT001,Performance,post_break_2025plus,performance_log,92,45,47,48.91,-260.0,-2.83,02/05/2026 03:19:18,04/09/2026 11:02:41,downloads,Performance.csv,/Users/zincdigital/Downloads/Performance.csv,ada294273689394cf4e533fbf134896ddf85a6ced40d3a2290160225d41747ef
BT002,SATS-PS,recent_2024plus,tv_strategy_export,2360,836,1524,35.42,5300.0,2.25,2024-04-02 03:30,2026-04-17 13:45,repo,sats_ps_r0_trades_2y_2026-04-17.csv,/Volumes/Satechi Hub/warbird-pro/data/sats_ps_r0/sats_ps_r0_trades_2y_2026-04-17.csv,da060fa26afb5f34210e9e919ec3ff853e61036e7a333442e14ffd1472cbc045
BT003,SATS-PS,post_break_2025plus,tv_strategy_export,1511,539,972,35.67,4233.0,2.8,2025-01-02 10:00,2026-04-17 14:00,repo,sats_ps_r0_trades_2025fwd_2026-04-17.csv,/Volumes/Satechi Hub/warbird-pro/data/sats_ps_r0/sats_ps_r0_trades_2025fwd_2026-04-17.csv,4220d71e5b8da25509b4e15498b2d4daae03c4b55c1793381ab4cbf9b62c0c49
BT004,SATS-PS,post_break_2025plus,tv_strategy_export,1633,568,1065,34.78,1562.75,0.96,2025-01-02 10:00,2026-04-17 15:30,downloads,SATS-PS_CME_MINI_MES1!_2026-04-17_8d81a.csv,/Users/zincdigital/Downloads/SATS-PS_CME_MINI_MES1!_2026-04-17_8d81a.csv,d4cc3bddcf4ff102999a6c4673eb2397ba14838657f42358cf7b4a315f89f2df
BT005,SATS-PS,post_break_2025plus,tv_strategy_export,1939,656,1283,33.83,-5709.25,-2.94,2025-01-02 10:00,2026-04-17 15:15,downloads,SATS-PS_CME_MINI_MES1!_2026-04-17_30afe.csv,/Users/zincdigital/Downloads/SATS-PS_CME_MINI_MES1!_2026-04-17_30afe.csv,8c3730b247b86a83eedb1bcb32321562b0550b09bdaaca3ac7a3439d07271334
BT006,SATS-PS,post_break_2025plus,tv_strategy_export,2583,860,1723,33.29,-14666.0,-5.68,2025-01-02 09:30,2026-04-17 15:30,downloads,SATS-PS_CME_MINI_MES1!_2026-04-17_99efd.csv,/Users/zincdigital/Downloads/SATS-PS_CME_MINI_MES1!_2026-04-17_99efd.csv,7cf49fee4a9cb6c6780b49e4e20445a07a6bbce994ff51d02641900e5b963b0a
BT007,SATS-PS,full_2020plus,tv_strategy_export,7925,2642,5283,33.34,-25337.5,-3.2,2020-01-02 08:15,2026-04-17 13:30,repo,sats_ps_r0_trades_2026-04-17.csv,/Volumes/Satechi Hub/warbird-pro/data/sats_ps_r0/sats_ps_r0_trades_2026-04-17.csv,937ba932d30676f34821b0bed098e4bda27d7b2c0869dee767274e6f6164238b
BT008,Supertrend,full_2020plus,tv_strategy_export,617,229,388,37.12,30568.75,49.54,2022-04-12 16:00,2026-04-14 04:48,downloads,Supertrend_Strategy_CME_MINI_MES1!_2026-04-14_78ef5.csv,/Users/zincdigital/Downloads/Supertrend_Strategy_CME_MINI_MES1!_2026-04-14_78ef5.csv,2b1e7267a1c8b1035d5c879b44b85a737adafb527fe9bfe46196469a861cb28a
BT009,Supertrend,post_break_2025plus,tv_strategy_export,519,190,326,36.61,3530.0,6.8,2025-06-02 22:30,2026-04-14 04:47,downloads,Supertrend_Strategy_CME_MINI_MES1!_2026-04-14_9b6d2.csv,/Users/zincdigital/Downloads/Supertrend_Strategy_CME_MINI_MES1!_2026-04-14_9b6d2.csv,4d6adc1b6156f83abed9a3fac44f11a6826e6e29edc3e5e97bf63656bcc0f75d
BT010,WB7,full_2020plus,tv_strategy_export,221,103,118,46.61,5508.0,24.92,2020-02-18 14:15,2026-04-06 21:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_3950e.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_3950e.csv,d5c0b0e604eb066fe96b88b90bb175b871901b56a626316dfce7fd380a75daf8
BT011,WB7,legacy_pre2020,tv_strategy_export,98,70,28,71.43,3675.98,37.51,2019-05-13 10:00,2026-04-06 14:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-06_1c037.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-06_1c037.csv,8061123bf4b12121516c3d77ab6ce1a6d8e7b2c2de006917bc19f674f4a85991
BT012,WB7,legacy_pre2020,tv_strategy_export,329,146,183,44.38,1905.75,5.79,2019-05-09 15:00,2026-04-10 06:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_d7bd9.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_d7bd9.csv,1fb814e77b3b429ec382b754aa95ecf044e8043dd2f31bbc45b9f9e717ac1c4c
BT013,WB7,legacy_pre2020,tv_strategy_export,423,280,143,66.19,1409.23,3.33,2019-05-09 09:00,2026-04-07 18:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-09_6e97e.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-09_6e97e.csv,630d42ac109a92667f4008b68a5bf812f43014ab4f3c1362dea71b763ec680a7
BT014,WB7,full_2020plus,tv_strategy_export,1466,458,1008,31.24,1340.5,0.91,2020-01-02 10:00,2026-04-10 16:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_e6226.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_e6226.csv,14dfba11848117abfc6cb66e51cb7af5fa86ca9829f7449e9adefdb2f8df3ce7
BT015,WB7,post_break_2025plus,tv_strategy_export,141,65,76,46.1,1270.5,9.01,2025-04-14 03:30,2026-04-08 15:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_141de.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_141de.csv,d2bd8ead2d11bbde50e6f5ef5ad27a3c27ab9d99c51c212b8b3a605d16b51931
BT016,WB7,post_break_2025plus,tv_strategy_export,273,113,160,41.39,1157.75,4.24,2025-04-13 19:24,2026-04-09 19:06,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_11c36.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_11c36.csv,6dd06d8b1473c7063d1318d6f390d009c1e3e09e3490819310a26df0420568de
BT017,WB7,legacy_pre2020,tv_strategy_export,1027,429,598,41.77,1036.0,1.01,2019-05-05 22:30,2026-04-10 09:20,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_7ed4f.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_7ed4f.csv,832470292b64a539568c89b1f5a414ed056afcc425f8eae3622ea83db28826b3
BT018,WB7,full_2020plus,tv_strategy_export,1415,479,936,33.85,843.75,0.6,2020-01-02 10:00,2026-04-10 16:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_ad6e2.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_ad6e2.csv,e06ef3718fc9989ae466277158299d1ca0c4c3d1e90f73b2efae5b102643e1ed
BT019,WB7,full_2020plus,tv_strategy_export,1403,476,927,33.93,811.5,0.58,2020-01-02 10:00,2026-04-10 16:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_2260c.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_2260c.csv,cc2ab8a7b293d952a524057635cd642cccff8cf175a0613dd01c3b47e9548e32
BT020,WB7,post_break_2025plus,tv_strategy_export,223,88,135,39.46,536.5,2.41,2025-04-13 21:05,2026-04-10 10:40,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_3f668.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_3f668.csv,752f66ba8082bfa9642bad7e6866179edbd5451dbf5bfd0ef9a6ab9b901faa9f
BT021,WB7,full_2020plus,tv_strategy_export,602,129,473,21.43,468.5,0.78,2020-01-06 07:30,2026-04-12 18:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_16860.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_16860.csv,1c69b23a53ecbbdd994c961461abfb6b8aa930554475fb4186527be6df20b1a0
BT022,WB7,legacy_pre2020,tv_strategy_export,1539,510,1029,33.14,283.25,0.18,2019-05-06 02:30,2026-04-10 16:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_6d2c9.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_6d2c9.csv,dde9dbef4e67ca1b0ff1ba51b68559e26e700b8b001bd8501bd70fd40e24ecbe
